sakinys,stilius,struktūra,veiksmažodžio_kategorija,daiktavardžio_kategorija
aš eiti,telegrafinis,VEK+VKS,eiti,
aš norėti,telegrafinis,VEK+VKS,norėti,
aš duoti,telegrafinis,VEK+VKS,duoti,
aš laikyti,telegrafinis,VEK+VKS,laikyti,
aš žaisti,telegrafinis,VEK+VKS,žaisti,
aš piešti,telegrafinis,VEK+VKS,piešti,
aš žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
aš skaityti,telegrafinis,VEK+VKS,skaityti,
aš laukti,telegrafinis,VEK+VKS,laukti,
aš kalbėti,telegrafinis,VEK+VKS,kalbėti,
aš valgyti,telegrafinis,VEK+VKS,valgyti,
aš gerti,telegrafinis,VEK+VKS,gerti,
aš miegoti,telegrafinis,VEK+VKS,miegoti,
tu eiti,telegrafinis,VEK+VKS,eiti,
tu norėti,telegrafinis,VEK+VKS,norėti,
tu duoti,telegrafinis,VEK+VKS,duoti,
tu laikyti,telegrafinis,VEK+VKS,laikyti,
tu žaisti,telegrafinis,VEK+VKS,žaisti,
tu piešti,telegrafinis,VEK+VKS,piešti,
tu žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
tu skaityti,telegrafinis,VEK+VKS,skaityti,
tu laukti,telegrafinis,VEK+VKS,laukti,
tu kalbėti,telegrafinis,VEK+VKS,kalbėti,
tu valgyti,telegrafinis,VEK+VKS,valgyti,
tu gerti,telegrafinis,VEK+VKS,gerti,
tu miegoti,telegrafinis,VEK+VKS,miegoti,
jis eiti,telegrafinis,VEK+VKS,eiti,
jis norėti,telegrafinis,VEK+VKS,norėti,
jis duoti,telegrafinis,VEK+VKS,duoti,
jis laikyti,telegrafinis,VEK+VKS,laikyti,
jis žaisti,telegrafinis,VEK+VKS,žaisti,
jis piešti,telegrafinis,VEK+VKS,piešti,
jis žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
jis skaityti,telegrafinis,VEK+VKS,skaityti,
jis laukti,telegrafinis,VEK+VKS,laukti,
jis kalbėti,telegrafinis,VEK+VKS,kalbėti,
jis valgyti,telegrafinis,VEK+VKS,valgyti,
jis gerti,telegrafinis,VEK+VKS,gerti,
jis miegoti,telegrafinis,VEK+VKS,miegoti,
ji eiti,telegrafinis,VEK+VKS,eiti,
ji norėti,telegrafinis,VEK+VKS,norėti,
ji duoti,telegrafinis,VEK+VKS,duoti,
ji laikyti,telegrafinis,VEK+VKS,laikyti,
ji žaisti,telegrafinis,VEK+VKS,žaisti,
ji piešti,telegrafinis,VEK+VKS,piešti,
ji žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
ji skaityti,telegrafinis,VEK+VKS,skaityti,
ji laukti,telegrafinis,VEK+VKS,laukti,
ji kalbėti,telegrafinis,VEK+VKS,kalbėti,
ji valgyti,telegrafinis,VEK+VKS,valgyti,
ji gerti,telegrafinis,VEK+VKS,gerti,
ji miegoti,telegrafinis,VEK+VKS,miegoti,
mama eiti,telegrafinis,VEK+VKS,eiti,
mama norėti,telegrafinis,VEK+VKS,norėti,
mama duoti,telegrafinis,VEK+VKS,duoti,
mama laikyti,telegrafinis,VEK+VKS,laikyti,
mama žaisti,telegrafinis,VEK+VKS,žaisti,
mama piešti,telegrafinis,VEK+VKS,piešti,
mama žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
mama skaityti,telegrafinis,VEK+VKS,skaityti,
mama laukti,telegrafinis,VEK+VKS,laukti,
mama kalbėti,telegrafinis,VEK+VKS,kalbėti,
mama valgyti,telegrafinis,VEK+VKS,valgyti,
mama gerti,telegrafinis,VEK+VKS,gerti,
mama miegoti,telegrafinis,VEK+VKS,miegoti,
tėtis eiti,telegrafinis,VEK+VKS,eiti,
tėtis norėti,telegrafinis,VEK+VKS,norėti,
tėtis duoti,telegrafinis,VEK+VKS,duoti,
tėtis laikyti,telegrafinis,VEK+VKS,laikyti,
tėtis žaisti,telegrafinis,VEK+VKS,žaisti,
tėtis piešti,telegrafinis,VEK+VKS,piešti,
tėtis žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
tėtis skaityti,telegrafinis,VEK+VKS,skaityti,
tėtis laukti,telegrafinis,VEK+VKS,laukti,
tėtis kalbėti,telegrafinis,VEK+VKS,kalbėti,
tėtis valgyti,telegrafinis,VEK+VKS,valgyti,
tėtis gerti,telegrafinis,VEK+VKS,gerti,
tėtis miegoti,telegrafinis,VEK+VKS,miegoti,
draugas eiti,telegrafinis,VEK+VKS,eiti,
draugas norėti,telegrafinis,VEK+VKS,norėti,
draugas duoti,telegrafinis,VEK+VKS,duoti,
draugas laikyti,telegrafinis,VEK+VKS,laikyti,
draugas žaisti,telegrafinis,VEK+VKS,žaisti,
draugas piešti,telegrafinis,VEK+VKS,piešti,
draugas žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
draugas skaityti,telegrafinis,VEK+VKS,skaityti,
draugas laukti,telegrafinis,VEK+VKS,laukti,
draugas kalbėti,telegrafinis,VEK+VKS,kalbėti,
draugas valgyti,telegrafinis,VEK+VKS,valgyti,
draugas gerti,telegrafinis,VEK+VKS,gerti,
draugas miegoti,telegrafinis,VEK+VKS,miegoti,
mokytoja eiti,telegrafinis,VEK+VKS,eiti,
mokytoja norėti,telegrafinis,VEK+VKS,norėti,
mokytoja duoti,telegrafinis,VEK+VKS,duoti,
mokytoja laikyti,telegrafinis,VEK+VKS,laikyti,
mokytoja žaisti,telegrafinis,VEK+VKS,žaisti,
mokytoja piešti,telegrafinis,VEK+VKS,piešti,
mokytoja žiūrėti,telegrafinis,VEK+VKS,žiūrėti,
mokytoja skaityti,telegrafinis,VEK+VKS,skaityti,
mokytoja laukti,telegrafinis,VEK+VKS,laukti,
mokytoja kalbėti,telegrafinis,VEK+VKS,kalbėti,
mokytoja valgyti,telegrafinis,VEK+VKS,valgyti,
mokytoja gerti,telegrafinis,VEK+VKS,gerti,
